127.0.0.1 - - [30/Nov/2023:13:45:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:40 +0900] "GET /MySNS/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:40 +0900] "GET /MySNS/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:40 +0900] "GET /MySNS/css/core.css HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:40 +0900] "GET /MySNS/js/core.js HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:50 +0900] "POST /MySNS/jsp/login.jsp?id=kiin@riot.com&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:50 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "GET /MySNS/images/%EC%B5%B8%EB%B9%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "GET /MySNS/images/lehends.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "GET /MySNS/images/kiin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "GET /MySNS/images/kiintest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "GET /MySNS/feedView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:45:51 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:04 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:04 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:06 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:06 +0900] "GET /MySNS/images/Peyz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:06 +0900] "GET /MySNS/images/%ED%8E%98%EC%9D%B4%EC%A6%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:06 +0900] "GET /MySNS/images/%EC%B5%B8%EB%B9%842.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:07 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:07 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:10 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:10 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:13 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:13 +0900] "GET /MySNS/images/%EC%BA%90%EB%8B%88%EC%96%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:13 +0900] "GET /MySNS/images/contact.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:18 +0900] "GET /MySNS/feedAdd.html HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:18 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:43 +0900] "POST /MySNS/jsp/feedAdd.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:44 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:44 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:44 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:45 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:46 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:46 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:52 +0900] "GET /MySNS/userInfo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:52 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:52 +0900] "POST /MySNS/jsp/userGet.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:46:53 +0900] "POST /MySNS/jsp/logout.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:13 +0900] "POST /MySNS/jsp/login.jsp?id=minhyeong@abc.com&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:13 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:13 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:13 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:13 +0900] "GET /MySNS/images/IMG_2717.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:13 +0900] "GET /MySNS/images/IMG_1343.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:15 +0900] "GET /MySNS/friend.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:15 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:15 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:15 +0900] "GET /MySNS/images/ico_delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:16 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:16 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:17 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:17 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:19 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:19 +0900] "GET /MySNS/images/%EC%BC%80%EB%A1%9C%EC%BC%80%EB%A1%9C%EC%BC%80%EB%A1%9C%ED%94%BC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:20 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:20 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:23 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
