127.0.0.1 - - [29/Nov/2023:13:51:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:47 +0900] "GET /MySNS/main.html HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:47 +0900] "GET /MySNS/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:47 +0900] "GET /MySNS/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:47 +0900] "GET /MySNS/js/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:47 +0900] "GET /MySNS/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:48 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:51:49 +0900] "GET /MySNS/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "POST /MySNS/jsp/login.jsp?id=noah@abc.com&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "GET /MySNS/images/IMG_2717.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:07 +0900] "GET /MySNS/images/IMG_1343.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:09 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:09 +0900] "GET /MySNS/images/%EC%BC%80%EB%A1%9C%EC%BC%80%EB%A1%9C%EC%BC%80%EB%A1%9C%ED%94%BC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:10 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:12 +0900] "GET /MySNS/feedView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:12 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:12 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:19 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:19 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:21 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:22 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:22 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:23 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:35 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:35 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:44 +0900] "POST /MySNS/jsp/login.jsp?id=noah@abc.com&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:44 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:44 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:44 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:44 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:47 +0900] "GET /MySNS/userInfo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:47 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:47 +0900] "POST /MySNS/jsp/userGet.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:51 +0900] "GET /MySNS/withdraw.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:52:51 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:54:26 +0900] "GET /MySNS/withdraw.html HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:54:26 +0900] "GET /MySNS/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [29/Nov/2023:13:54:26 +0900] "GET /MySNS/css/core.css HTTP/1.1" 200 2053
